history:GTC_Multisite_Inwi/BGU-ONE T°c Ambiante;;;
;;;
Timestamp;Trend Flags;Status;Value (°C)
23-Dec-24 4:30:00 PM WEST;{start};{ok};21.5
23-Dec-24 4:45:00 PM WEST;{ };{ok};21.8
23-Dec-24 5:00:00 PM WEST;{ };{ok};21.8
23-Dec-24 5:15:00 PM WEST;{ };{ok};21.6
23-Dec-24 5:30:01 PM WEST;{ };{ok};21.6
23-Dec-24 5:45:00 PM WEST;{ };{ok};21.8
23-Dec-24 6:00:01 PM WEST;{ };{ok};21.8
23-Dec-24 6:15:00 PM WEST;{ };{ok};22.3
23-Dec-24 6:30:00 PM WEST;{ };{ok};22.3
23-Dec-24 6:45:01 PM WEST;{ };{ok};22.3
23-Dec-24 7:00:01 PM WEST;{ };{ok};22.4
23-Dec-24 7:15:00 PM WEST;{ };{ok};22.4
23-Dec-24 7:30:00 PM WEST;{ };{ok};22.5
23-Dec-24 7:45:00 PM WEST;{ };{ok};22.6
23-Dec-24 8:00:01 PM WEST;{ };{ok};22.5
23-Dec-24 8:15:00 PM WEST;{ };{ok};22.4
23-Dec-24 8:30:01 PM WEST;{ };{ok};22.4
23-Dec-24 8:45:00 PM WEST;{ };{ok};22.5
23-Dec-24 9:00:00 PM WEST;{ };{ok};22.6
23-Dec-24 9:15:00 PM WEST;{ };{ok};22.5
23-Dec-24 9:30:00 PM WEST;{ };{ok};22.0
23-Dec-24 9:45:00 PM WEST;{ };{ok};21.8
23-Dec-24 10:00:01 PM WEST;{ };{ok};22.1
23-Dec-24 10:15:01 PM WEST;{ };{ok};22.0
23-Dec-24 10:30:01 PM WEST;{ };{ok};21.8
23-Dec-24 10:45:00 PM WEST;{ };{ok};22.1
23-Dec-24 11:00:01 PM WEST;{ };{ok};21.7
23-Dec-24 11:15:00 PM WEST;{ };{ok};21.9
23-Dec-24 11:30:01 PM WEST;{ };{ok};21.8
23-Dec-24 11:45:00 PM WEST;{ };{ok};21.8
24-Dec-24 12:00:00 AM WEST;{ };{ok};22.0
24-Dec-24 12:15:00 AM WEST;{ };{ok};22.2
24-Dec-24 12:30:01 AM WEST;{ };{ok};22.3
24-Dec-24 12:45:00 AM WEST;{ };{ok};22.4
24-Dec-24 1:00:00 AM WEST;{ };{ok};22.5
24-Dec-24 1:15:00 AM WEST;{ };{ok};22.5
24-Dec-24 1:30:00 AM WEST;{ };{ok};22.5
24-Dec-24 1:45:00 AM WEST;{ };{ok};22.4
24-Dec-24 2:00:01 AM WEST;{ };{ok};22.2
24-Dec-24 2:15:01 AM WEST;{ };{ok};22.2
24-Dec-24 2:30:01 AM WEST;{ };{ok};22.1
24-Dec-24 2:45:00 AM WEST;{ };{ok};22.1
24-Dec-24 3:00:00 AM WEST;{ };{ok};22.1
24-Dec-24 3:15:01 AM WEST;{ };{ok};22.4
24-Dec-24 3:30:01 AM WEST;{ };{ok};21.5
24-Dec-24 3:45:00 AM WEST;{ };{ok};21.9
24-Dec-24 4:00:01 AM WEST;{ };{ok};21.4
24-Dec-24 4:15:00 AM WEST;{ };{ok};21.7
24-Dec-24 4:30:00 AM WEST;{ };{ok};21.4
24-Dec-24 4:45:00 AM WEST;{ };{ok};21.5
24-Dec-24 5:00:01 AM WEST;{ };{ok};21.6
24-Dec-24 5:15:00 AM WEST;{ };{ok};21.4
24-Dec-24 5:30:00 AM WEST;{ };{ok};21.7
24-Dec-24 5:45:00 AM WEST;{ };{ok};21.4
24-Dec-24 6:00:00 AM WEST;{ };{ok};21.5
24-Dec-24 6:15:00 AM WEST;{ };{ok};22.1
24-Dec-24 6:30:00 AM WEST;{ };{ok};22.1
24-Dec-24 6:45:00 AM WEST;{ };{ok};21.8
24-Dec-24 7:00:00 AM WEST;{ };{ok};21.9
24-Dec-24 7:15:00 AM WEST;{ };{ok};22.2
24-Dec-24 7:30:00 AM WEST;{ };{ok};21.9
24-Dec-24 7:45:00 AM WEST;{ };{ok};21.7
24-Dec-24 8:00:01 AM WEST;{ };{ok};22.0
24-Dec-24 8:15:00 AM WEST;{ };{ok};22.0
24-Dec-24 8:30:00 AM WEST;{ };{ok};21.7
24-Dec-24 8:45:00 AM WEST;{ };{ok};21.9
24-Dec-24 9:00:01 AM WEST;{ };{ok};22.0
24-Dec-24 9:15:01 AM WEST;{ };{ok};21.9
24-Dec-24 9:30:00 AM WEST;{ };{ok};21.0
24-Dec-24 9:45:00 AM WEST;{ };{ok};21.3
24-Dec-24 10:00:02 AM WEST;{ };{ok};21.3
24-Dec-24 10:15:00 AM WEST;{ };{ok};21.0
24-Dec-24 10:30:01 AM WEST;{ };{ok};21.3
24-Dec-24 10:45:00 AM WEST;{ };{ok};21.3
24-Dec-24 11:00:00 AM WEST;{ };{ok};21.0
24-Dec-24 11:15:00 AM WEST;{ };{ok};21.4
24-Dec-24 11:30:00 AM WEST;{ };{ok};21.1
24-Dec-24 11:45:01 AM WEST;{ };{ok};21.2
24-Dec-24 12:00:00 PM WEST;{ };{ok};21.2
24-Dec-24 12:15:00 PM WEST;{ };{ok};21.4
24-Dec-24 12:30:01 PM WEST;{ };{ok};21.7
24-Dec-24 12:45:02 PM WEST;{ };{ok};21.8
24-Dec-24 1:00:01 PM WEST;{ };{ok};21.8
24-Dec-24 1:15:00 PM WEST;{ };{ok};21.8
24-Dec-24 1:30:00 PM WEST;{ };{ok};21.8
24-Dec-24 1:45:00 PM WEST;{ };{ok};22.0
24-Dec-24 2:00:00 PM WEST;{ };{ok};22.1
24-Dec-24 2:15:00 PM WEST;{ };{ok};22.2
24-Dec-24 2:30:10 PM WEST;{ };{ok};22.1
24-Dec-24 2:45:01 PM WEST;{ };{ok};22.0
24-Dec-24 3:00:00 PM WEST;{ };{ok};22.0
24-Dec-24 3:15:00 PM WEST;{ };{ok};22.1
24-Dec-24 3:30:00 PM WEST;{ };{ok};21.5
24-Dec-24 3:45:00 PM WEST;{ };{ok};21.4
24-Dec-24 4:00:00 PM WEST;{ };{ok};21.5
24-Dec-24 4:15:01 PM WEST;{ };{ok};21.7
24-Dec-24 4:30:00 PM WEST;{ };{ok};21.6
24-Dec-24 4:45:00 PM WEST;{ };{ok};21.5
24-Dec-24 5:00:00 PM WEST;{ };{ok};21.4
24-Dec-24 5:15:00 PM WEST;{ };{ok};21.5
24-Dec-24 5:30:01 PM WEST;{ };{ok};21.7
24-Dec-24 5:45:01 PM WEST;{ };{ok};21.8
24-Dec-24 6:00:00 PM WEST;{ };{ok};21.6
24-Dec-24 6:15:00 PM WEST;{ };{ok};22.2
24-Dec-24 6:30:00 PM WEST;{ };{ok};22.1
24-Dec-24 6:45:01 PM WEST;{ };{ok};22.2
24-Dec-24 7:00:00 PM WEST;{ };{ok};22.4
24-Dec-24 7:15:01 PM WEST;{ };{ok};22.5
24-Dec-24 7:30:00 PM WEST;{ };{ok};22.4
24-Dec-24 7:45:00 PM WEST;{ };{ok};22.3
24-Dec-24 8:00:00 PM WEST;{ };{ok};22.4
24-Dec-24 8:15:01 PM WEST;{ };{ok};22.5
24-Dec-24 8:30:01 PM WEST;{ };{ok};22.5
24-Dec-24 8:45:00 PM WEST;{ };{ok};22.4
24-Dec-24 9:00:00 PM WEST;{ };{ok};22.3
24-Dec-24 9:15:01 PM WEST;{ };{ok};22.7
24-Dec-24 9:30:00 PM WEST;{ };{ok};21.8
24-Dec-24 9:45:00 PM WEST;{ };{ok};21.7
24-Dec-24 10:00:01 PM WEST;{ };{ok};21.8
24-Dec-24 10:15:00 PM WEST;{ };{ok};21.9
24-Dec-24 10:30:01 PM WEST;{ };{ok};21.9
24-Dec-24 10:45:00 PM WEST;{ };{ok};21.6
24-Dec-24 11:00:00 PM WEST;{ };{ok};21.6
24-Dec-24 11:15:00 PM WEST;{ };{ok};21.9
24-Dec-24 11:30:00 PM WEST;{ };{ok};21.8
24-Dec-24 11:45:00 PM WEST;{ };{ok};21.5
25-Dec-24 12:00:00 AM WEST;{ };{ok};21.7
25-Dec-24 12:15:00 AM WEST;{ };{ok};22.0
25-Dec-24 12:30:00 AM WEST;{ };{ok};22.2
25-Dec-24 12:45:01 AM WEST;{ };{ok};22.1
25-Dec-24 1:00:01 AM WEST;{ };{ok};22.2
25-Dec-24 1:15:00 AM WEST;{ };{ok};22.2
25-Dec-24 1:30:00 AM WEST;{ };{ok};22.3
25-Dec-24 1:45:00 AM WEST;{ };{ok};22.4
25-Dec-24 2:00:00 AM WEST;{ };{ok};22.4
25-Dec-24 2:15:00 AM WEST;{ };{ok};22.4
25-Dec-24 2:30:00 AM WEST;{ };{ok};22.5
25-Dec-24 2:45:01 AM WEST;{ };{ok};22.4
25-Dec-24 3:00:01 AM WEST;{ };{ok};22.4
25-Dec-24 3:15:01 AM WEST;{ };{ok};22.1
25-Dec-24 3:30:00 AM WEST;{ };{ok};21.4
25-Dec-24 3:45:00 AM WEST;{ };{ok};21.7
25-Dec-24 4:00:00 AM WEST;{ };{ok};21.6
25-Dec-24 4:15:00 AM WEST;{ };{ok};21.4
25-Dec-24 4:30:00 AM WEST;{ };{ok};21.7
25-Dec-24 4:45:00 AM WEST;{ };{ok};21.4
25-Dec-24 5:00:01 AM WEST;{ };{ok};21.7
25-Dec-24 5:15:00 AM WEST;{ };{ok};21.4
25-Dec-24 5:30:01 AM WEST;{ };{ok};21.4
25-Dec-24 5:45:01 AM WEST;{ };{ok};21.6
